#254754	#299C90	#EAC569	#F3A362	#E66E50
#9C5CE6	#F05CB6	#FDE53F	#00BCF8	#00F6D3
#7E6F82	#CFB7A9	#DED4C4	#F7EEE4
#41504F	#12989F	#2FE4C9	#E5F8F4
#44464A	#4A5F58	#F5CD15	#F4F8F7
#FEE2E4	#E3D9DB	#C8CDD4	#92B6C5
#000913	#001E3E	#003467	#FFC200	#FFD70B
#F82486	#7308B6	#390DA4	#4260ED	#4BCAEF
#CCBAA8	#DBD1C3	#F3E0CF	#FEEEEE
#F9F7F5	#E4F3F5	#D1E8E8	#C5E0E0
#FFF2BD	#7EC284	#6A9B79
#321C40	#512647	#872F4D	#E33D56
#ABABA9	#FEC8C8	#FEE3E3	#F7F7F7
#98DECD	#F7F5F7	#FFE1E3	#B9D8DE
#FEA59D	#FBF2DC	#B7F1E7	#AFDADF	#5D6371
#9AA69A	#ACC1A8	#D4E3CC	#FDF6EE
#FEC4A2	#EF9A7C	#D2766C	#A85E5C
#8574AA	#C4ADD7	#F0BCD0	#FED6CC
#FFE9E9	#FFDBDD	#FFB3B5	#FE9393
#758CA7	#9DB3CD	#D4CDDE	#F1D8DA
#376740	#6B9A4F	#A8C856	#F1E7D0	#BB4848
#FE0000	#940200	#3C0000	#000000
#A4DDE6	#DFF8B4	#FDFCCB	#FFCEE0
#001528	#FEFEFB	#2FC3B7	#E81C37	#FFA01B
#1F2123	#51606C	#CAD5E0	#F1F6FA
#701C1C	#BA9356	#422917	#98592B	#FEE5A6
#587073	#7C9C9B	#E3DDCE	#F1ECE4
#860D34	#ED6884	#FFC5C5	#FFF6E5
#E9DFD9	#F6F6EA	#9FC4D3	#EBC6C6
#F2F0F7	#E0CDEB	#C8B5E5	#BF9EE0
#E6F7F1	#A6CACB	#385A65	#2D3432
#275331	#608E4F	#A5BD7A	#E6D8B7
#2D73B2	#215396	#134371	#092548
#FFDD7E	#F7406D	#F7F2D5	#00B9AA
#51744E	#90C887	#DEFFBB	#FFFEDF
#685C4F	#AAC5AB	#F4DFB9	#A88F7F
#86596E	#D1B9A9	#E0D2C2	#F9ECE4
#F28A9F	#FEBBBD	#EEF5E4	#B4EBEB
#FBEECE	#FFFBE1	#EAECC8	#CDD4AD
#FFBCCB	#FFCBCB	#FFDECD	#FFEFCD
#6A9181	#A5C2B3	#CDE2DF	#E9F3F3	#F5FFF7
#786A5E	#B1A794	#EAE4D6	#F4EDE9
#FED55F	#F17C3E	#EB5356	#2E4158
#E4CEC2	#F7E7CA	#E8D5B4	#A1947C
#ABCA74	#CEEA91	#FEFEE9	#FED3D3
#DE7962	#EBB291	#D5E1D5	#FDF9E9
#19525B	#4DCEC3	#F8FFF8	#FF6A6C	#FFE76C
#FEE4ED	#FFC1D0	#FFB4C5	#FF8EAC	#FC6E93
#FEA9A6	#FED4B7	#DDECC2	#A9E7D0
#FF8EC6	#FFABC8	#FEDED1	#FEB8BA
#8DC2AF	#9DD6C4	#BDE9D4	#DDF6E6
#CFC8BF	#F0E9D7	#6E8C75	#607060
#EDEDEF	#FED268	#383D47	#212930
#F9F1F1	#F2E2E0	#F2D2D0	#7C5B59
#BFAFE3	#F6DAEF	#F8FAF8	#CEF1EB
#977F75	#D6C1AD	#EDE2CA	#9AAAB9
#F1ECCF	#A98C55	#4F6B51	#3A5245
#EBE8B2	#A7BC8E	#62866F	#3B6354
#1D202E	#B78872	#E9C09E	#FBF2DF
#CACAA2	#FEE2A7	#E36C5D	#713E47	#462C2F
#00A7CD	#0B7C94	#28486C	#13274F
#FEABA8	#FFD4B5	#D4EDC3	#97DCC9
#6E4B5A	#9F7876	#DFB99C	#F4E7C6
#F8DBDA	#FEF4EB	#D7D1C3	#978D84
#F4F6F6	#D7E7F1	#313742
#FFFBF3	#CBC6B8	#413C3A	#242323	#EA5F27
#241A41	#5D558D	#9E87BF	#BD96C3	#DFB0CA
#F5EDEC	#F0DAD0	#D7AB9B	#9A9C85
#E48C2A	#F0A562	#FED7A8	#FCEFDD
#E5A5B5	#F4D6CB	#FFF7E2	#F6EFE5
#4781AA	#739AC3	#90C7E3	#F7F3EA
#445433	#9FB483	#CFDDBC	#F9F2E3
#C48841	#E6B974	#FBEBB2	#F9F9F2
#94B0A7	#5D8273	#193E3E	#030E13
#EEE0B2	#D9CBA4	#B19C70	#86815D
#3F404A	#434E59	#FE9A9A	#FFC9C9
#BD6EF0	#8A2DDB	#53067C	#000000
#FFF1F5	#FBC7D0	#FEACAC	#D24E73
#485563	#BCC0CB	#E9E9E7	#F3F5F1
#AAECD9	#47CCD0	#3C85A9	#47476C
#71D7FE	#FE6FA5	#FF966F	#FFD771	#E8FF6F
#215879	#37A4A4	#56CD9A	#81EC98	#C6F8CB
#9AA5B4	#222B3F	#3A4768	#F0F5FA
#64461E	#775928	#C7AD7C	#EBC597
#F6FFE6	#E0EBC7	#C5D8B1	#9FC59C
#B8956F	#FFFBE1	#A8B487	#5E7053
#3A0098	#9F0058	#FF0053	#FF5500	#FFBE00
#FF175E	#FF9B00	#F7F8D8	#3DC2D4
#C9BCE8	#FFCFF2	#FEFCFC	#A2E9FC
#FFE5BD	#E5CEA6	#C4B192	#8F7F69
#FFEAC8	#D89872	#B15A3C	#763323
#E6E6CA	#D6CFA2	#3B2B20	#1B130C
#FEEDCB	#FFDECD	#FECDCD	#FEBACD
#E7E6A2	#AAAE7D	#7E8E68	#567252
#9CA5B3	#3A4768	#13264D	#F2F7F8
#FFC3CF	#F6DEDF	#FAE9E6	#FBF6ED
#F8F6E6	#F9EBD7	#EEDCC6	#A6717C
#89C5D2	#BADFD7	#F9E2DA	#FFB7BA
#FAFEB2	#FFECB3	#FFC0A8	#FEABAB
#586F7A	#C8B097	#E0D2C2	#F1EDE4
#D8FAE9	#9CF2C5	#63D1A1	#1EAC88
#CFE8D1	#AFD8B0	#78AD79	#608163
#684D4D	#876E6E	#C2A4A4	#F4C6C4
#FFC0B5	#FFDDB9	#FEEDBA	#FCFFBB
#FEEBD1	#DCE0EB	#ABB2D7	#8395C5
#EBF1FA	#C9D8EA	#F1DADB	#F8EDEB
#364A54	#F52B67	#FFDA34
#F8DFBC	#FFC170	#C28053	#87493A
#7ADEF1	#B3F6EE	#EEF8F7	#F6D5E1	#F1B4D5
#2E3D4E	#517087	#FCAF3F
#FEF1F3	#E4DFFE	#8FA8E8	#7185D2
#878987	#F1EFF1	#FFFFFE	#FEE9E0
#F15555	#31465D	#232932	#DCDEDE
#122912	#30582D	#50762C	#91A854	#EBF49F
#056481	#6D7681	#BA8181	#F29088
#F5F3F3	#F8D0BB	#D5998A	#547670
#ABCEBF	#F5F8C6	#FCC586	#EB9179
#103A45	#BDA27E	#E9D6BC	#FEF1D7
#F3E0B9	#EFC472	#C9955B	#866546
#394E38	#506E51	#729173	#EBE2CF
#A09983	#C1B7A2	#E7DCC7	#FFF6DD
#F1EBBD	#E1C698	#BF8160	#9B3C3A
#EAC6E7	#C0ABDF	#9F83CB	#655DAB
#ABA9A9	#A5EAF4	#CBF1F5	#F3FAFA
#F1799E	#F898B8	#F8C4D4	#FFE2EB
#266579	#1788A8	#D4DFEB	#F7F4F6
#BFDAE9	#B991C7	#E7A1BE	#FCF5F4
#136B93	#1AA8CD	#B0D4E1	#F7F2F2
#FFFAEA	#F3E9D6	#DBE1B5	#CBD5A7
#EDD2D8	#F4E7DE	#CDD2C9	#B4C1CF
#FE6600	#FDA930	#FEC187	#FBEBDC
#84576E	#AB7E87	#DFB5AC	#F7EDD2
#445E7B	#FA5A58	#F9D059
#888DCC	#B8BADE	#DCE8F3	#DEF5F2
#ECECEE	#D90036	#434543	#181816
#A5D1E5	#FAFFE9	#FEEDD9	#D3A4A4
#B3B9A4	#F5C6AC	#DDEEEF	#FEF6EC
#689C9C	#A9D0CE	#FEE3E1	#FEB5B7
#C76C84	#E5A5B5	#F4D8CB	#F6EFE7
#7E7D81	#BEA1DA	#EFDAFF	#F4F2F6
#DEF3FC	#9CBFC7	#437C9C	#174964
#DFBF98	#B95B39	#5D3C2F	#2C2523
#74A8AE	#91C7AB	#C3E0AB	#F4F1BA
#FEE5F8	#FEAAE2	#C58AC5	#927CC1
#675947	#A08673	#C9DABF	#EEE3E1
#8DC1DD	#FBEFD8	#FFDAC1	#F5BEBE
#001625	#14606E	#FEEBD0	#FF7E00	#792A0E
#E4F7FF	#29CB9D	#A5EE8F
#FFECC0	#D6A76D	#A74C29	#8D3100
#0E3A67	#F9F1CB	#F5D45F	#EF954A	#F85639
#112B56	#DBC1A4	#EBDCC9	#F9F1E6
#799296	#95B3A0	#B3D0B1	#E6E2CA
#BBE39F	#E4ECB3	#F9C5B3	#FF8686
#7B7674	#B7AFAF	#E0D4D4	#FAEFF1
#F7CCA7	#FEE6CB	#FEFCEA	#EDFAFF
#FEF2E5	#EFD5C5	#6C504E	#473335
#A6787A	#6F4E50	#563838	#482C2C
#565656	#CEC8C2	#FAF8F1	#D8E3DE
#FDCCCC	#D8ACAE	#AC9E9E	#828484
#FE5621	#EDEFEF	#00ACB6	#2F3742
#ECD8DC	#D7ADD2	#9283C5
#FFF0EE	#F4D1D8	#F1ECE2	#F7F6F1
#53BBBA	#9DD1C7	#EAD9C2	#F8EDDD
#D6B09C	#C78C58	#875538	#412319
#AB6F87	#DDB7AC	#EDCBB1	#F6E7C8
#FCF8C2	#FEDDB3	#FFB3B5	#B3A3FE
#E4E3CB	#BBC6A6	#879F82	#688575
#19112C	#382F54	#453D69	#625886
#A6D6E7	#586BBB	#1A386C	#0C2348
#E5BBD3	#F5E0EA	#ECFFEB	#CBF6E2
#80F6FE	#9FFFE5	#FEFFDC	#FED6E4
#FFCA3B	#FE993B	#FE6E3B	#165162
#B2D1DF	#6897AC	#3F6783	#19384C
#F4D8A2	#EFA18F	#BB6474
#FBD7A6	#CEB896	#9AA27A	#62754C
#466167	#78A2B0	#D1E9F1	#FBF7ED
#E8B1BD	#F2DEE4	#F2FAFA	#E2F1FA
#FFFBD8	#FDDCB1	#FEA0A0	#E87876
#FCE3F2	#E6BDED	#927EB2	#2B2E4E
#DAC3F1	#FFCBCD	#D5E1D3	#F9F2F1
#E4E2DB	#FAFAF2	#A9D6DA	#91C8CE
#85C7BD	#CFECC6	#FEF5BE	#FED3B1
#7568B7	#AC87C7	#E2AED2	#FFE5E7
#4C6688	#C7C7C5	#F6F7F1	#EFE6CE
#88BAAE	#C8DDA8	#FEEAD9	#FFC6C6
#CECFCA	#E7E9E5	#D0D9C9	#7D9574
#223656	#4E6F9D	#D7C3B5	#F4EEE6
#4E000C	#730027	#CD4358	#FF8050	#FE9A53
#D0DAD4	#E9ECDE	#F4CA5D	#232522	#323434
#78797F	#D9D2CC	#F6F1E6	#DFEBE3
#243E4E	#FF802E	#FBCB45	#A0C082	#629C8B
#EBB28F	#FBF7E9	#CDE4D1	#93B3A0
#8DA7B5	#E6EEF2	#FE8E57
#100F36	#375385	#7EC6DA	#DBF3F0
#FECCCC	#E8FCBD	#FFFEDD	#D8D8F0
#EAC8E5	#BEABE3	#A185DB	#655DBC
#F8BFC1	#F5D7AC	#F9FDC3	#CBF7C9
#6256A5	#A584E1	#FFACE0	#FFE5E7
#FDFEC1	#FFD3A6	#D28DAC
#E6DCC6	#F2EFDD	#BDD6DB	#B4C9D0
#9482FF	#B9B7FE	#F7F6FF	#FFEDDC	#FFD7BF
#E84547	#F99985	#FEE4C9	#FEF4E3
#1C1616	#640000	#820000	#EFECDC
#77463C	#B2936F	#F7FBE4	#42776D
#FACE92	#FAE5C7	#FBEDDF	#DCCFC1
#98BB86	#BED7AE	#D3E6C4	#E2F1D9
#6A738D	#51587B	#484D67	#3F4159
#A94931	#D6704A	#E7A072	#EECEAA
#E0EFE9	#A6C3BB	#5D8A7F	#305C61
#97A9F9	#BBCFF9	#CCFBF5	#FBF8F1
#D5AEFB	#5B459D	#1E257C	#0B1250
#12395E	#FF7B89	#FAFAF8
#FEF7DF	#D7E9DA	#C2D1B6	#98AA90
#598A8C	#FEFEFF	#FFD4C3	#F3903C	#C7563C
#B8FEFB	#A2D7F5	#9BB4F4	#767AE8
#CCE5DD	#0F8489	#2F4E4E	#2B3432
#5A6F7A	#C6B299	#DED2C4	#F1EBE3
#EDEFED	#D82422	#394651	#313942
#C73E30	#E15D3D	#FF9C51	#FEBA5D
#BFEAE9	#63B5CC	#1A4864	#CBE8FF	#5EA7D4
#511161	#6738A5	#3391DF	#70E8DE
#FF7D66	#F9FBF9	#A1D4F1	#0669A0
#F7C2B0	#FDA6AC	#E999BC	#BD8BC0
#1A1818	#800000	#CD1111	#EFEADC
#00497B	#005790	#E7F2F4	#F9F9F9
#474E40	#57766B	#5A8B73	#BECAA7
#D9B8C2	#837298	#4C4B7C	#372F61
#E7D2FE	#C5D0FF	#DDEBFF	#F2F7FF
#FAF9D9	#AEBB9E	#446951	#133829
#A3B48C	#E3E8BD	#FBFCD7	#E5BB94
#98FFFE	#93D9FE	#93B2FE	#BA84FF
#7D9E95	#EAB285	#F3F3DF	#A0CDD0
#E6CACC	#C98FA8	#9A6179	#653942
#39464F	#F7CA0F	#EFEDEF
#BDAEF9	#CFBEFF	#DECDFC	#FEF2DB
#EFEDED	#75AAAD	#323740	#212732
#352F63	#4E4D7C	#817298	#E8D4DB
#EFF3E7	#D5CEA5	#3C8260	#1D6857
#ECD9C2	#F6E8D8	#FFF5E9	#FFEFEF
#FFABA6	#FFD2B7	#FEFFAC	#A7E5D0
#96BCFF	#B3E5FE	#DEFED7	#F8C9DF
#C9C3BD	#F3D9C4	#F0C98A	#CD9A6C
#F6ECDC	#E0E9CB	#DBE1B5	#CDD5A7
#B8CBEE	#F7E8E7	#FAF5FA	#F7E4F4
#142D34	#136F81	#50C3D4	#D9E2E6
#D9E2E8	#008F9D	#264A6C	#132751
#80659E	#B995D0	#DDBBCD	#FAF9CE
#AB5757	#F0DABE	#BA9C6C	#6A836A
#FBA2CB	#FABFDE	#FECEE0	#BDE5EC
#ECB2F2	#D69AF7	#9795F2	#8FF7E3
#68D3E8	#A8DAD9	#DFE3CD	#F28731	#FB6800
#B57063	#E3BBB8	#E3D4CE	#9D9C88
#9191C2	#545B92	#1C1954	#060E2A
#FEF5D1	#E4D0FB	#E2DEFC	#EBF1FE
#610707	#A64040	#F3CD75
#394651	#313742	#BD3043
#DE7962	#EBB291	#EBDEC9	#FBF7E7
#C0AB96	#B6CEA4	#CAE3C4	#F9ECE1
#4B6A84	#375669	#283853
#ECEDF8	#7969E5	#B7B4FE	#E5FCFE
#FE6765	#FE888A	#FDADAD	#FFE9DC
#DE7760	#EDB48F	#93B3A0	#FBF9E7
#FEF3E0	#EBD7BF	#D0BA9F	#A69176
#F8F4EC	#EBE2D1	#5F7DA9	#1B377A
#F3F0E4	#E4E0DA	#C8C9CD	#B3B5B9
#A5BB91	#B4CA9B	#C6E8AF	#DEFEBA
#D7E8A7	#4FA03E	#1F5229	#1A191A
#FEEFF3	#E5E5CF	#ADC4AD	#93A783
#C396D9	#E3A2D3	#F2C7D2	#FDE3DC
#DC115F	#47476F	#BCBCD8
#8DADCE	#D8E6CB	#F8F2CD	#D1E1FA
#E4D28B	#BC9255	#9F7641	#84613E
#FFBE87	#FFD3AB	#F4EFD6	#CFE6D1
#273B62	#938996	#FCE7D2	#F95E74
#B9E9E7	#E4F7F6	#FEFFFE	#282242
#B6CBDA	#FEF5EB	#F4E8DC	#DBB98C
#A8FE84	#18BA77	#096A71	#061951
#FF8D93	#FEABA5	#FED4B6	#DBECC3
#F1E6E6	#E9C5C3	#CD7676	#2C3B56
#FECCAC	#FEA35B	#5E5C59
#E3C1B8	#F3DCC0	#98A69A	#D2E3CE
#074321	#E3EEE6	#FCFBF5	#FBF2E7
#BCAC8D	#DDCFB7	#FBEDD0	#FCF6E3
#173271	#1F559F	#D7E3EF	#F5F5F5
#91ABCA	#FEB184	#F8D6A8	#FFF0E7
#FEDCAB	#FFF1F6	#FFD2D9	#FAA2B6
#AFDDFB	#FFF7F5	#FEE0DE	#FA939D
#E9FCFD	#BEEBF4	#92D7E3	#81A9E4
#FD5503	#F88505	#F8B309	#F8FE03
#B0BAC9	#CF96AF	#F5A8A7	#FCC5A3
#FFE4E4	#E1AFD1	#AB86C6	#766BB7
#9B9384	#ABA591	#C6BFA1	#E4DBC4
#9EAC87	#DDD6B0	#DF9063	#CB7250
#121F32	#162C34	#355A62	#D5EBDE
#001526	#718E80	#F5D68E	#C00504	#8E0902
#C0EDE3	#FE9FA9	#FFD1CF	#39A5BA
#066575	#5DA9A9	#A2D3C9	#E9DFD1
#9E9C9E	#F7F1DE	#FFFCF2	#7AB3B6
#A1BBC3	#D9E4CF	#FDFCE8	#FAECC7
#FFCFD1	#E0ADAB	#C98888	#A77775
#EAE6D5	#ADB893	#454F2D	#372605
#473432	#845759	#EAD5D3	#FEEFEF
#816E65	#C59A7C	#F6CBAD	#393746
#EDEDEF	#558BA9	#486171	#324358
#FEFEFE	#001620	#00355A	#007FA8	#00A7E9
#593E73	#A05E7F	#FF8573	#FEC895
#EFEFED	#777992	#131F62	#0E054D
#F7EDC8	#FFB5BA	#F5DBD9	#BDEAEA
#89CED6	#FAFADF	#FEBFDA	#FF91BD
#F9F1E5	#B8B5C8	#5B5371	#362E45
#9FA0A4	#C5C2A3	#FFF7DB	#FFC5AD
#F1E8D3	#E7DCC3	#688A82	#191E30
#B5E1A0	#FFFCC0	#FFBF8B	#F6A3A3
#FFC2F4	#FDE1CF	#FAF6DA	#CEFFFD
#C9B9FF	#B6DFFE	#C0FED8	#FDFFA7
#B3A3FE	#FFB3B5	#FEDDB3	#FEF8C9
#0E100E	#542D1B	#C6A97F	#E7E7E5
#586B97	#9A6344	#FED7AD
#FAAEAE	#F3C5B3	#F4E7CA	#98E0E6
#A2A47F	#D5CD92	#EEEACD	#D7A38E	#BA8489
#DAE5C7	#93B09E	#ADC1B7	#BAD5B7
#D9A0FA	#AF87FA	#99ABF7	#BFDBFB
#FEE5C6	#FEA65A	#FE5F00	#444444
#9ED7DE	#FE7270	#F4C1C1	#EFE3D8
#547075	#9EAE80	#C6D0B8	#F8F8E9
#166C88	#85B7F7	#B3D3FF	#EFF6FF
#FDDFFE	#94C5E6	#AFE1FF	#B8F4FB
#C0F0FE	#FFEAAD	#FFDCA3	#FFB2B2
#F2EEC9	#EBD295	#C03232	#7E0909
#FFE2FD	#B5ADE9	#92339F	#450B68
#C6E0F7	#9FC0E1	#7996CA	#4B56A1
#5F464C	#D9B283	#F2F1D6	#CFE6D1
#EFEFED	#4FCBA4	#383D45	#242830
#0E2D58	#DBC1A4	#E9DCC7	#F7EFE4
#F7FAD6	#C5D6DF	#B1C9E0	#6D84B8
#CD9445	#5F3702	#351400	#1B0B00
#3E2404	#DED6C0	#F1EBD2	#F4F4F6
#4F6C85	#899DB0	#D3B598	#F4D4BF
#404240	#AE0303	#FE0000	#262624
#D17584	#9D4685	#67357E	#38316C
#00286C	#004087	#004F9C	#FEC600	#FFD400
#8EE4CE	#266E84	#2A4766	#002C5A
#494D80	#AB8CB0	#DCB7C7	#F0D3D3
#525D62	#56827A	#CAD9B5	#F2EBC2
#88A9A9	#C7E4D5	#F7EBBF	#F7D8A8
#A9C7A8	#CADCB3	#E4F3C0	#F5FEDD
#00344D	#135275	#5689A2	#E7E9E7
#E3B9D5	#F5E0EA	#F9EEEE	#C9F8E4
#FADABC	#FFA6AA	#DB637E	#A6395F	#46081F
#2B6F4A	#4B966D	#FDFFE4	#FECABA	#D78B44
#E8EDF0	#264B76	#5F95BB	#A4CFF2	#8A8D88
#F1F2EA	#EFE8D9	#AEC9AE	#89AC8F
#9CBFB8	#FFC3B3	#FE8981	#1A4451
#864257	#C55E7A	#F58A88	#F5E6D7
#7FEC98	#56CB98	#39A2A4	#235879
#DB7E8E	#A6BAC6	#E2E6EB	#F9F4F4
#FEF3F1	#F9D3D3	#F09E9E	#F37D7D
#C7B7E3	#A9A5CF	#7985B5	#485B82
#000000	#640000	#D7B5A5	#EFECDE
#3A3A45	#8C92AC	#D7E1EF	#F2F4F7
#F5D29C	#D6E8F8	#FCFBE4	#FAF2E0
#947EAC	#D392BD	#FDC7D9	#FEDED4
#210A00	#611807	#931A0D	#BB3809	#F5A91B
#620093	#400070	#160051	#000000
#EE8C8E	#8C6161	#4C4444	#383133
#9B8293	#C7A8A2	#EAD7B6	#9ABAAC
#B3A4A6	#3B405B	#2F1C3E	#161616
#C897CB	#926ABE	#3C2D8C	#1D0B5C
#B2B0FF	#B7E9FD	#C7FFD5	#FEFCBC
#CBE7D6	#83AAAD	#3C6877	#213F52
#4E879D	#7BB1B3	#EFF8FE	#CEE7E4
#562D5B	#D07A7A	#F5E099
#FEADC1	#FEFAB1	#FED485	#FEAA74
#CCEED6	#98DFCF	#61B5B8	#429996
#E9FEE7	#A7FEF3	#73F8FE	#00DFFF
#FFBF8F	#F8F7DB	#B0D6B3	#80B87D
#FE8BAF	#FFB1A7	#FEF79B	#99DBFE
#02171F	#11465A	#588293	#ADC4AF	#F0F7DF
#9BB0AB	#D7DBC7	#FAF4D4	#F0BB9A
#0CCDD9	#6DF2D7	#C7FBE4	#ECFEFB
#0E4D93	#5AC2BC	#A1E3CA	#CEF6E6
#684087	#C4ADCF	#F6EEE6	#FEFCF4
#B1A49A	#DFCFB7	#FBEDD2	#617175
#C9ECFE	#D7B3F9	#FEC6EB	#FAF1B3
#D1A3F8	#DDC0FF	#E6D5FF	#F2EBFF
#24164A	#253058	#48547A	#FEFAEA
#EDA4A7	#E394B2	#B685B8	#8D7BB4
#ADE7E7	#FCF5EF	#FED976	#FFA35C
#471121	#8B2E3A	#B13B49	#FBB8B1	#FFCFBA
#FFA2A2	#EBCCB3	#F1EED5	#F8FAE6
#FF5E9F	#E80063	#B2005F	#070048
#F9AA79	#FEDBAA	#FDFABD	#E9F2D7
#DEA77A	#F5B284	#FFDA67	#FFF1CB
#A7A99B	#F8D2BB	#E5E6E6	#F6F0E4
#C591E3	#F7C5EB	#F8F8F8	#CCF1E9
#B5F1E2	#FFE8C6	#FB9090	#EC6482
#ED463F	#C82D40	#7F1235	#2E122B
#10314E	#6C7BA0	#C2D0BF	#E8DFCA
#6F6D60	#E0F5F2	#FFFFFE	#323432
#9DC9BA	#5D8275	#1A4141	#0A2534
#A5E4E8	#CCF0F4	#DFFDFD	#FEE5EC
#FEC0BE	#FEE6E6	#F4FCE7	#A7DE8D
#BC5959	#E89F86	#EBCFB3	#F3EAD1
#EEE2D0	#A88396	#402F3F	#341E2B
#F6F6F6	#F1E8D6	#6C9987	#3A3F45
#FFA2FE	#E285FF	#875CFE	#1A1726
#F976A9	#FCADCD	#F0D0CF	#F5F8F8
#FDFEB1	#B7E487	#C8F1A3	#E2FEB0
#F2D2B4	#C6BDA2	#8A7D73	#64637B
#C5ECDD	#79C6C3	#F6375A	#37415A
#EFEBE6	#B5BCC5	#32314C	#151B2F
#398790	#0F5F6E	#FEEED5	#F3DDB9
#00214E	#5C0D42	#9F163F	#FE1F4F
#F5E7E5	#E1BDB6	#CB898A	#5C6E5C
#DED1B9	#958878	#3D5A6E	#143549
#050831	#323355	#585C82	#F3AAC5
#E0F7FF	#46B4FF	#246C86	#07293C
#0E2F56	#005779	#008992	#E8E8DF
#1647A3	#5E9CF8	#FFF8EA	#FF721C
