Cosmic Cobalt	cosmiccobalt	#2E2D88	Wikipedia
Cosmic Latte	cosmiclatte	#FFF8E7	Wikipedia
Cotton Candy	cottoncandy	#FFBCD9	Crayola
Coyote Brown	coyotebrown	#81613C	Wikipedia
Crayellow	crayellow	#F1D651	Crayola
Cream	cream	#FFFDD0	RAL
Crimson	crimson	#DC143C	CSS
Cultured	cultured	#F5F5F5	Wikipedia
Cultured Pearl	culturedpearl	#F5F5F5	Wikipedia
Curry	curry	#A77F0E	RAL
Cyan	cyan	#00FFFF	CSS
Cyber Grape	cybergrape	#58427C	Wikipedia
Cyber Yellow	cyberyellow	#FFD300	Wikipedia
Cyclamen	cyclamen	#F56FA1	Wikipedia
Daffodil Yellow	daffodilyellow	#E88C00	RAL
Dahlia Yellow	dahliayellow	#F99A1C	RAL
Dandelion	dandelion	#FED85D	Crayola
Dark Blue	darkblue	#00008B	CSS
Dark Blue-gray	darkbluegray	#666699	Wikipedia
Dark Brown	darkbrown	#654321	Wikipedia
Dark Byzantium	darkbyzantium	#5D3954	Wikipedia
Dark Cyan	darkcyan	#008B8B	CSS
Dark Electric Blue	darkelectricblue	#536878	Wikipedia
Dark Fuchsia	darkfuchsia	#A00955	Wikipedia
Dark Goldenrod	darkgoldenrod	#B8860B	CSS
Dark Gray	darkgray	#A9A9A9	CSS
Dark Green	darkgreen	#006400	CSS
Dark Grey	darkgrey	#A9A9A9	CSS
Dark Jungle Green	darkjunglegreen	#1A2421	Wikipedia
Dark Khaki	darkkhaki	#BDB76B	CSS
Dark Lava	darklava	#483C32	Wikipedia
Dark Liver	darkliver	#543D37	Wikipedia
Dark Magenta	darkmagenta	#8B008B	CSS
Dark Midnight Blue	darkmidnightblue	#003366	Wikipedia
Dark Moss Green	darkmossgreen	#4A5D23	Wikipedia
Dark Olive Green	darkolivegreen	#556B2F	CSS
Dark Orange	darkorange	#FF8C00	CSS
Dark Orchid	darkorchid	#9932CC	CSS
Dark Pastel Green	darkpastelgreen	#03C03C	Wikipedia
Dark Purple	darkpurple	#301934	Wikipedia
Dark Raspberry	darkraspberry	#872657	Wikipedia
Dark Red	darkred	#8B0000	CSS
Dark Salmon	darksalmon	#E9967A	CSS
Dark Sea Green	darkseagreen	#8FBC8F	CSS
Dark Sienna	darksienna	#3C1414	Wikipedia
Dark Sky Blue	darkskyblue	#8CBED6	Wikipedia
Dark Slate Blue	darkslateblue	#483D8B	CSS
Dark Slate Gray	darkslategray	#2F4F4F	CSS
Dark Slate Grey	darkslategrey	#2F4F4F	CSS
Dark Spring Green	darkspringgreen	#177245	Wikipedia
Dark Tan	darktan	#918151	Wikipedia
Dark Turquoise	darkturquoise	#00CED1	CSS
Dark Vanilla	darkvanilla	#D1BEA8	Wikipedia
Dark Venetian Red	darkvenetianred	#B33B24	Crayola
Dark Violet	darkviolet	#9400D3	CSS
Dartmouth Green	dartmouthgreen	#00703C	Wikipedia
Davy's Grey	davysgrey	#555555	Wikipedia
Deep Cerise	deepcerise	#DA3287	Wikipedia
Deep Champagne	deepchampagne	#FAD6A5	Wikipedia
Deep Chestnut	deepchestnut	#B94E48	Wikipedia
Deep Fuchsia	deepfuchsia	#C154C1	Wikipedia
Deep Jungle Green	deepjunglegreen	#004B49	Wikipedia
Deep Lemon	deeplemon	#F5C71A	Wikipedia
Deep Mauve	deepmauve	#D473D4	Wikipedia
